id,name_home,name_away,code_home,code_away,group,stadium,venue,datetime,headline,summary,summary_home,summary_away,goals_home,goals_away,attempts_home,attempts_away,on-target_home,on-target_away,off-target_home,off-target_away,blocked_home,blocked_away,woodwork_home,woodwork_away,corners_home,corners_away,offsides_home,offsides_away,ball_possession_home,ball_possession_away,pass_accuracy_home,pass_accuracy_away,passes_home,passes_away,passes_completed_home,passes_completed_away,distance_covered_home,distance_covered_away,balls_recovered_home,balls_recovered_away,tackles_home,tackles_away,blocks_home,blocks_away,clearances_home,clearances_away,yellow_cards_home,yellow_cards_away,direct_red_cards_home,direct_red_cards_away,indirect_red_cards_home,indirect_red_cards_away,fouls_committed_home,fouls_committed_away,referee_name,referee_conrtry,weather_description,weather_temperature,weather_windspeed,weather_humidity
300331503,Russia,Saudi Arabia,RUS,KSA,First stage - Group A,Luzhniki Stadium,Moscow,2018-06-14 18:00:00,Super subs seal dream start for hosts,"Hosts Russia could not have wished for a better start to their own FIFA World Cup following their resounding 5-0 victory over Saudi Arabia. Iury Gazinsky scored the first goal of Russia 2018 with a firmly-placed header, before substitute Denis Cheryshev - who replaced the injured Alan Dzagoev - scored the second before the break. Artem Dzyuba's goal came mere moments after being introduced before Cheryshev's stunner and Aleksandr Golovin's free kick sealed the victory.","If Stanislav Cherchesov had a dream about this game before it started, it could not have been more perfect. Gazinsky's early goal was a result of the pressure Russia applied. The hosts lost a creative influence in Dzagoev to an injury that could end up having big consequences later in the tournament, but his replacement scored an amazing goal after dribbling past three opponents. Dzyuba's uber-motivation was reflected by his swift impact, before Cheryshev and Golovin put the cherry atop the cake.","Saudi Arabia were made to pay for their defensive mistakes, and did not provide any attacking threat save for a brief forward foray by Mohammed Al Sahlawi in the first half. Juan Antonio Pizzi's changes did little to influence the game as it ended up a humiliating defeat for the Saudis.",5,0,13,6,7,0,3,3,3,3,0,0,6,2,3,1,40,60,78,86,306,511,240,442,118,105,53,48,9,16,3,3,19,31,1,1,0,0,0,0,22,10,Pitana Nestor,ARG,partly cloudy,17,6,43
300353632,Egypt,Uruguay,EGY,URU,First stage - Group A,Ekaterinburg Arena,Ekaterinburg,2018-06-15 17:00:00,Pain for returning Egypt as Uruguay earn late win,"Uruguay were made to work overtime before finally edging a late 1-0 win over Egypt in their opening Group A contest in Ekaterinburg. Defender Jose Gimenez was the unlikely hero with a towering last-minute winning header, after Egypt had impressed with their organisation. Star forwards Edinson Cavani and Luis Suarez were largely starved of opportunities, although the former hit the post with a free-kick, as Uruguay finished strongly. Egypt's star forward Mohamed Salah failed to make an appearance after injury and the Pharaohs' Russia 2018 opener ended on a sour note.","Egypt's match against Uruguay was headed for a draw until Uruguay finally broke the deadlock. The Pharaohs held their opponents away from goal due to the defensive focus of coach Hector Cuper, which succeeded in reducing the danger of Edinson Cavani and Luis Suarez. However, the attack was not completely absent from the Egyptian team, despite the absence of Mo Salah.","Uruguay struggled to break down a well-organised Egypt side until the latter stages. The Uruguayans had more of the ball, trying to use the flanks, but it failed to pay dividends until the last part of the match. La Celeste suffered more than expected, but were able to win a World Cup opening match for the first time since Mexico 1970.",0,1,8,14,3,4,3,6,2,4,0,1,0,5,1,1,43,57,78,86,395,589,308,508,112,111,57,54,12,8,4,2,32,22,2,0,0,0,0,0,12,6,Kuipers Bjorn,NED,partly cloudy,14,29,42
300331526,Morocco,IR Iran,MAR,IRN,First stage - Group B,Saint Petersburg Stadium,St. Petersburg,2018-06-15 18:00:00,Own goal hands Iran dramatic victory,"For the second time on Friday, a last-minute goal has transformed the state of a group at the 2018 FIFA World Cup Russia, and cut down a North African side. While it was Uruguay in the earlier encounter, a heartbreaking own goal sunk Morocco in IR Iran's favour for a 1-0 win.Morocco flew out of the traps in Saint Petersburg, carving out some sensational chances, but Iran easily could have gone in ahead at the break. By contrast, the second-half hardly had a opening worthy of note, until deep in stoppage time when Aziz Bouhaddouz headed into his own net.","Iran made it. A second ever win at a World Cup. Team Melli found itself still in the game come the closing stages after being under pressure in the opening minutes. They hit Morocco on the counter-attack at certain points, but to score the crucial goal they had to wait until the final seconds of stoppage time. That own goal leaves Iran hopeful and eager for their upcoming fixtures, but they still need at least a point to have a chance at qualifying.","A heartbreaking defeat for Morocco. They had the chances, but Amine Harit's superb supply only reflected the glaring absence of a true centre-forward in the team. In five visits now, Morocco have never won their first World Cup match. Ultimately, the absence of Nabil Dirar cannot be underestimated and it will be a real challenge to pick themselves up for the Portugal game.",0,1,13,8,3,2,6,5,4,1,0,0,5,2,0,0,64,36,86,66,433,194,371,129,101,100,38,38,9,14,1,5,16,24,1,3,0,0,0,0,22,14,Cakir Cuneyt,TUR,partly cloudy,25,13,37
300331524,Portugal,Spain,POR,ESP,First stage - Group B,Fisht Stadium,Sochi,2018-06-15 21:00:00,Ronaldo illuminates stellar draw with Spain," Cristiano Ronaldo was Portugal's saviour once again as he scored a hat-trick to secure a draw against Spain. It was the Real Madrid man's highest goal tally in a FIFA World Cup match. He kicked off with an early penalty, deceiving Nacho inside the box to win it and then stroking the ball home from the spot. Fortunately for *La Roja*, Diego Costa was also at his bristling best, getting the better of the Portugal defence to level the scores. Isco then thumped a rasping drive against the bar. Yet while Spain dominated possession they were vulnerable on the counter, and it was on the break that Ronaldo put his side back in front, firing in a drive that David de Gea was unable to hold.   Costa scored his second equaliser of the night just after the restart before Nacho atoned for his penalty-box trip on Ronaldo by powering a superb half-volley in off the post, his first goal for Spain. As the clock ticked down, however, Gerard Pique brought down CR7 just outside the box, with the Portugal star dusting himself down to complete the scoring with a sublime free-kick.  ","The Portuguese could not have wished for a better start, or a better ending for that matter. Spain made them work hard for a well-earned point, which came courtesy of a classy treble from the best player in the world.","Spain impressed on Fernando Hierro's debut in the dugout, coming from behind only for Cristiano Ronaldo to spoil De Gea's evening. The midfield excelled and though Costa's double and Nacho maiden goal for his country were not enough to secure three points, they can take plenty of satisfaction from the result, as can the Portuguese. ",3,3,8,12,3,5,2,5,3,2,0,1,4,5,1,3,39,61,87,93,366,727,320,677,102,103,36,28,8,7,2,3,17,9,1,1,0,0,0,0,12,10,Rocchi Gianluca,ITA,partly cloudy night,24,10,74
300331533,France,Australia,FRA,AUS,First stage - Group C,Kazan Arena,Kazan,2018-06-16 13:00:00,Own goal sees France edge Australia,"The third matchday of the 2018 FIFA World Cup Russia began with the Group C encounter between France and Australia in Kazan. Although Les Bleus made a bright start, stars Kylian Mbappe, Paul Pogba and Antoine Griezmann were unable to capitalise on their chances. The Aussies gained a foothold in the game after the first 15 minutes, with Hugo Lloris palming their best first-half opportunity clear when team-mate Corentin Tolisso threatened to deflect a free-kick into his own net.The action then came thick and fast after the interval. After consulting with the video assistant referees (VAR team), referee Andres Cunha awarded France a penalty that Griezmann coolly converted. Samuel Umtiti then handled the ball in the box just a few minutes later, with Mile Jedinak scoring the resulting spot-kick. Didier Deschamps' side ultimately turned the match back in their favour, thanks to an own goal from Australia defender Aziz Behich.Both teams will be back in action on Thursday 21 June, when France take on Peru, while Australia will be under pressure against Denmark.","By the end of this match, only one thing was certain: France still have plenty of work to do. Their weaknesses were clear, as they sought to find their rhythm. It was a tough emcounter, and it is difficult to escape the fact that Les Bleus were very lucky to secure all three points in their opening game. Eleven top players do not always make a top team - not yet, anyway…","The Socceroos held their own against their French opponents. They may even have deserved a draw and can certainly be satisfied with their performance. They were well organised and resolute in defence. Coach Bert van Marwijk will be glad that his team delivered what he has been calling for all week. All in all, the boys in green and gold can be proud of how they pushed France all the way.",2,1,12,4,5,1,4,2,3,1,0,0,5,1,0,0,51,49,87,85,484,390,423,332,103,111,52,49,6,15,1,3,23,45,1,3,0,0,0,0,16,19,Cunha Andres,URU,sunny,19,19,32
300331515,Argentina,Iceland,ARG,ISL,First stage - Group D,Spartak Stadium,Moscow,2018-06-16 16:00:00,Iceland thwart Argentina on World Cup debut,"The action at Moscow's Spartak Stadium got off to a thrilling start with the match between FIFA World Cup veterans Argentina and debutants Iceland. Despite stamping their authority on the game's opening stages, La Albiceleste struggled to find space against a deep-lying Icelandic defence. The breakthrough came in the 19th minute when Sergio Aguero fired the ball home on the turn to give Argentina a 1-0 lead. The South Americans' joy was short-lived, however, as Alfred Finnbogason made history by scoring his country's first-ever World Cup goal just four minutes later.Lionel Messi had the biggest opportunity to take the lead in the second half, but his penalty was saved by Iceland goalkeeper Hannes Halldorsson. Although Argentina continued to press for a goal, they were repeatedly denied by the Nordic side's staunch defensive efforts.","While Argentina proved unable to find a win in their opening match, showed some defensive weaknesses and even missed a penalty, this match also provided plenty of encouragement. The team that took to the pitch were spirited with a clear game plan, despite failing to unlock an extremely compact Iceland defence.","Iceland's plan worked to perfection. The tournament newcomers know the kind of football they need to play to achieve their objectives. They have to be compact and unrelenting. The Icelandic players will not get results by playing Argentina's brand of attacking football. Ahead of the game, Hallgrimsson urged his players not to give Messi any space, and they did this extremely effectively under captain Aron Gunnarsson's leadership.",1,1,26,9,7,3,9,5,10,1,0,0,10,2,0,0,72,28,92,67,718,189,657,127,101,105,40,35,8,18,1,10,18,36,0,0,0,0,0,0,10,15,Marciniak Szymon,POL,sunny,22,11,33
300331528,Peru,Denmark,PER,DEN,First stage - Group C,Mordovia Arena,Saransk,2018-06-16 19:00:00,Denmark do just enough to edge out Peru," Denmark edged out Peru thanks to Yussuf Poulsen's second-half goal to join France on three points in Group C of the 2018 FIFA World Cup Russia. The Peru fans were out in force in Saransk, making their players feel right at home. Suitably inspired, they dominated the first half but could not make the most of the opportunities they created.  Perhaps the pressure of Peru's 36-year absence from the world finals weighed heavy on their shoulders, with Christian Cueva missing a penalty just before the break. Playing a more patient game, the Danes were unable to generate any clear-cut chances as the first half ended goalless. Adopting a more adventurous approach after the restart, Denmark were rewarded when Christian Eriksen's precise through-ball allowed Poulsen to open the scoring. Though the South Americans piled the pressure on in search of an equaliser, the Danes held firm, with keeper Kasper Schmeichel pulling off some fine stops.  ","Brimming with confidence, Peru put in a performance that banished memories of their long absence from the world finals. The South Americans created numerous opportunities and missed a golden chance from the spot. Finding themselves a goal behind at the start of the second half, they turned to the talismanic Paolo Guerrero, but not even he could prevent them from falling to a defeat that did not reflect their efforts on the pitch.","Denmark came under a lot of pressure at the start of the match, not least on the right flank, and tried unsuccessfully to bring Eriksen into the game with a series of long balls. Though William Kvist was forced off with injury, they found the goal they were looking for and worked hard to defend it, earning three precious points in the process.",0,1,18,10,6,3,7,5,5,2,0,0,3,7,5,3,52,48,85,82,394,342,334,282,104,110,42,40,12,11,2,5,19,20,1,2,0,0,0,0,10,18,Gassama Bakary,GAM,partly cloudy,18,12,48
300331523,Croatia,Nigeria,CRO,NGA,First stage - Group D,Kaliningrad Stadium,Kaliningrad,2018-06-16 21:00:00,Modric-inspired Croatia open with a win,"No shots on target, one goal. The statistics at half-time during Croatia's meeting with Nigeria reflected an opening 45 minutes shaded by the Balkan side - but largely dominated by defenders. Ivan Perisic went closest to hitting the target with an effort from 20m after a quarter of an hour, but in the end it was Nigeria's Oghenekaro Etebo who brought joy to the huge Croatian contingent in Kaliningrad, beating his own goalkeeper following a corner.Cautious in the first half, Nigeria came out with more purpose after the break, only for Dejan Lovren and Domagoj Vida to keep Odion Ighalo well and truly quiet. In fact, just as the Super Eagles began turning up the pressure on Danijel Subasic's goal, the *Vatreni* (The Fiery Ones) responded by doubling their lead, Luka Modric converting from the spot after William Ekong held Mario Mandzukic in the box. It was no less than Modric deserved after a superb display that earned him the Budweiser Man of the Match award.","This was a difficult match for Croatia, but the Vatreni picked up three points in an excellent opening game for Zlatko Dalic's men. Perhaps they still need to find their rhythm, and perhaps they were not especially impressive, but ultimately they came out on top. There were gaps in the Nigerian defence and Croatia were able to make the most of them.","Nigeria had trouble creating chances, and unfortunate mistakes at set-pieces proved very costly against superior opposition. The Super Eagles lacked imagination up front, and although they were mostly able to frustrate Croatia's talented forwards at the back, it was not enough to secure three points. They now need to overcome Iceland to stave off the prospect of an early exit.",2,0,11,14,2,2,7,5,2,7,0,0,6,5,2,1,54,46,84,84,462,388,386,327,104,101,43,42,16,7,7,2,32,26,2,1,0,0,0,0,20,16,Ricci Sandro,BRA,partly cloudy,20,7,64
300331529,Costa Rica,Serbia,CRC,SRB,First stage - Group E,Samara Arena,Samara,2018-06-17 16:00:00,Kolarov stunner seals Serbia win,"Serbia edged Costa Rica 1-0 after Aleksandar Kolarov scored the third direct free-kick of the 2018 FIFA World Cup Russia. In a tightly-contested duel at the Samara Arena, with both teams creating several goalscoring chances, it was Serbia's day, as the Orlovi put a precious three points on the board.","Costa Rica had opportunities in the first half and they did not take advantage of them. In the second half, Serbia were more confident and scored the decisive goal. This game was about efficacy and accuracy and some players of Costa Rica did not have that this time. Their attackers were isolated throughout the second half and they did not create enough opportunities to score. This was a chess match that Serbia won.","On the pitch today, Serbia did exactly what they promised in the build-up to the match. They played like a team, covering positions for one another, they did not underestimate their opponent and they did not get caught in the headlights of playing in a first World Cup match in eight years. The team's mix of aggressiveness and creativity in midfield was the driving force of the win, with the foul that led to Kolarov's free-kick winner coming after an inspired Milinkovic-Savic run. ",0,1,10,10,3,3,3,5,4,2,0,0,5,4,1,3,50,50,83,83,428,392,355,325,107,109,38,42,10,7,2,4,30,31,2,2,0,0,0,0,18,15,Diedhiou Malang,SEN,sunny,22,18,32
300331502,Germany,Mexico,GER,MEX,First stage - Group F,Luzhniki Stadium,Moscow,2018-06-17 18:00:00,Lozano lights up the Luzhniki as El Tri defeat holders,"Mexico pulled off a historic victory in the opening game of 2018 FIFA World Cup Russia Group F, defeating World Cup holders Germany 1-0 in front of a fervent - and full - Luzhniki Stadium. Juan Carlos Osorio's masterplan worked to perfection, with El Tri soaking up the long spells of German possession and hitting Die Nationalmannschaft on the counter-attack. Hirving Lozano's strike was a result of a swift break, with green shirts swarming forwards and the PSV Eindhoven man coolly converting past Manuel Neuer.Joachim Low's side played their part in an enthralling encounter, with Toni Kroos hitting a free kick against the crossbar. Their efforts were ultimately in vain, with the Mexicans claiming all three points.",Amazing - Germany are now the third holders in a row to fail to win their opening match at the following World Cup. Even more worrying: Italy in 2010 and Spain in 2014 both went out after the group stage and the four-time champions surely have their work cut out for them if they want to avoid a similar fate. Not much worked as they had hoped for and changes will certainly be needed for Joachim Low in the next game.,Mexico came to the match with a plan and stuck to it to perfection. The team learned from their mistakes of the Confederations Cup and designed a system that would prevent the Germans playing their usual passing game and take advantage of the spaces at the back. The last minutes were tense but Mexico rarely allowed clear chances. It was a deserved victory against the world champions.,0,1,25,12,9,4,9,6,7,2,2,0,8,1,1,2,60,40,88,82,595,281,524,231,110,106,31,38,9,7,2,7,12,42,2,2,0,0,0,0,10,15,Faghani Alireza,IRN,sunny,23,11,42
